tid process_date process_time
181005020 2018-10-08 22:30:30.906010
181003001 2018-10-09 00:01:26.752054
181004004 2018-10-09 00:11:58.600607
181005005 2018-10-09 00:22:32.313412
181005007 2018-10-09 00:32:57.945439
181005009 2018-10-09 00:43:13.683059
181005010 2018-10-09 01:01:48.384972
181005006 2018-10-10 11:49:29.824929
181005008 2018-10-10 11:59:48.878846
181005011 2018-10-10 15:46:33.141206
181005012 2018-10-10 16:03:43.770681
181005013 2018-10-10 16:20:08.158012
181005014 2018-10-10 16:37:02.810928
181005015 2018-10-10 16:53:47.631699
181005016 2018-10-10 17:10:31.483783
181005017 2018-10-10 17:26:53.996409
181005018 2018-10-10 18:20:33.674220
181005019 2018-10-10 19:17:21.130871
181005021 2018-10-11 00:59:58.641336
181005022 2018-10-11 01:16:30.048812
181005023 2018-10-11 06:10:45.632539
181005024 2018-10-11 06:27:39.312210
181010001 2018-10-11 06:41:34.837180
181010003 2018-10-12 00:53:35.066894
181010004 2018-10-12 11:53:04.120382
181012001 2018-10-12 13:15:23.252821
181012002 2018-10-12 14:15:18.292931
181012004 2018-10-12 14:40:12.548117
181012005 2018-10-12 15:56:07.385402
181012006 2018-10-12 16:06:22.441477
181012008 2018-10-12 16:51:42.397866
181012009 2018-10-12 17:02:11.323171
181012007 2018-10-12 17:15:23.000750
181012010 2018-10-12 17:25:54.053878
181012011 2018-10-12 17:40:24.899986
181012012 2018-10-14 10:58:56.978073
181012013 2018-10-14 22:16:39.620484
181012014 2018-10-14 22:34:23.608496
181012015 2018-10-14 22:48:27.560537
181012016 2018-10-15 04:57:02.833202
181012017 2018-10-15 05:14:13.670782
181012018 2018-10-15 06:22:43.566386
181012022 2018-10-15 10:33:30.625620
181012024 2018-10-15 10:48:26.265777
181012025 2018-10-15 11:04:08.397258
181015008 2018-10-15 14:05:23.680181
181015007 2018-10-15 14:32:57.741061
181015009 2018-10-15 15:51:39.422631
181015010 2018-10-15 16:05:27.547663
181015011 2018-10-15 16:19:24.679740
181012023 2018-10-15 22:30:21.359683
181016001 2018-10-16 08:24:53.019959
181016004 2018-10-16 10:07:19.764512
181016005 2018-10-16 10:42:27.232861
181016006 2018-10-16 10:57:16.336549
181016007 2018-10-16 11:12:27.536736
181016008 2018-10-16 11:27:10.333571
181017001 2018-10-17 10:28:18.864917
181017002 2018-10-17 10:53:02.417113
181017003 2018-10-17 11:24:56.645175
181017004 2018-10-17 11:55:32.270129
181017005 2018-10-17 12:10:31.599268
181017006 2018-10-17 12:21:23.118377
181017007 2018-10-17 13:01:52.303511
181017008 2018-10-17 13:16:58.636794
181017009 2018-10-17 13:30:32.415245
181017010 2018-10-17 13:41:07.164992
181017011 2018-10-17 13:55:43.238377
181017012 2018-10-17 14:23:08.489399
181017013 2018-10-17 14:42:34.070813
